AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
325,236,Radha Nayak,51,F,A1
326,236,Vinod Shetty,51,M,A2
327,237,Sunitha Naik,19,F,A1
328,238,Cheluvamma Gowda,42,F,A1
329,239,Chandru Naik,35,M,A1
330,240,Ravindra Achar,53,M,A1
331,241,Anand Bhat,31,M,A1
332,242,Krishnappa Bhat,22,M,A1
333,242,Basavaraj Kumar,36,M,A2
334,243,Naveen Bhat,18,M,A1
335,245,Gowramma,60,F,A1
336,246,Rajesh Naik,63,M,A1
337,247,Ravindra Reddy,51,M,A1
338,247,Malathi,50,F,A2
339,248,Byrappa Rao,46,M,A1
340,248,Radha Reddy,47,F,A2
341,248,Kavitha Naik,53,F,A3
342,249,Suresh Hegde,19,M,A1
343,250,Puneeth Bhat,41,M,A1
344,250,Suresh Bhat,65,M,A2
345,251,Harish Naidu,42,M,A1
346,251,Shobha Kumar,21,F,A2
347,253,Manjula Kumar,23,F,A1
348,253,Cheluvamma Naidu,48,F,A2
349,253,Savitha Kamath,43,F,A3
350,253,Padma Setty,58,F,A4
351,255,Shivakumar Hegde,33,M,A1
352,256,Malathi Bhat,54,F,A1
353,257,Chandrappa,60,M,A1
354,258,Roopa,44,F,A1
355,259,Prakash,21,M,A1
356,259,Roopa Iyengar,49,F,A2
357,260,Rajesh Hegde,61,M,A1
358,260,Shailaja Bhat,42,F,A2
359,261,Manjula Gowda,63,F,A1
360,261,Shivakumar,28,M,A2
361,262,Shailaja Naidu,62,F,A1
362,263,Pushpa Hegde,21,F,A1
363,264,Malathi Bhat,62,T,A1
364,264,Bhagya,50,F,A2
365,266,Usha Shetty,62,F,A1
366,266,Kavitha Shetty,30,F,A2
367,266,Pushpa Rao,64,F,A3
368,267,Halappa Iyengar,29,M,A1
369,268,Mohan Iyengar,29,M,A1
370,268,Savitha,50,F,A2
371,269,Malathi,45,F,A1
372,269,Lakshmi Shetty,40,F,A2
373,270,Padma Poojary,35,F,A1
374,271,Manjula,40,F,A1
375,272,Chandrappa,34,M,A1
376,273,Puttamma,60,F,A1
377,273,Sharath Hegde,52,M,A2
378,274,Roopa Setty,23,F,A1
379,274,Rekha,48,F,A2
380,275,Siddappa Reddy,27,M,A1
381,275,Malathi Kumar,48,F,A2
382,275,Ravindra Naik,54,M,A3
383,275,Suresh Reddy,40,M,A4
384,275,Halappa Setty,53,M,A5
385,276,Mohan Rao,20,M,A1
386,276,Basavaraj Naik,35,M,A2
387,276,Manjunath Iyengar,45,M,A3
388,276,Kavitha Achar,47,F,A4
389,276,Ramesh Naidu,44,M,A5
390,277,Lokesh Naidu,30,M,A1
391,277,Vinod Naidu,30,M,A2
392,279,Kavitha Nayak,37,F,A1
393,279,Padma Poojary,43,F,A2
394,280,Nagaraj,22,M,A1
395,280,Devamma Achar,54,F,A2
396,282,Lakshmi Hegde,48,F,A1
397,283,Kavitha,46,F,A1
398,284,Shobha Hegde,49,F,A1
399,285,Vani Nayak,64,F,A1
400,286,Shailaja Naik,38,F,A1
401,287,Chandru Achar,55,M,A1
402,287,Anitha,54,F,A2
403,288,Suresh Reddy,30,M,A1
404,289,Basavaraj,61,M,A1
405,290,Malathi Naik,63,F,A1
406,290,Radha Reddy,47,F,A2
407,291,Puneeth Bhat,53,M,A1
408,291,Devamma Nayak,34,F,A2
409,291,Basamma Hegde,38,F,A3
410,291,Yogesh Kamath,63,M,A4
411,292,Sanjay Reddy,56,M,A1
412,293,Mahesh Gowda,35,M,A1
413,294,Rajesh Nayak,19,M,A1
414,295,Gowramma Reddy,63,F,A1
415,296,Roopa Achar,29,F,A1
416,296,Padma Poojary,32,F,A2
417,297,Byrappa Naidu,44,M,A1
418,297,Anitha Rao,52,F,A2
419,298,Halappa,63,M,A1
420,299,Lakshmi Reddy,58,F,A1
421,300,Girish Hegde,64,M,A1
422,300,Malathi Naidu,27,F,A2
423,301,Malathi Poojary,32,F,A1
424,301,Chandru Poojary,40,M,A2
425,302,Ganesh Nayak,47,M,A1
426,302,Vijay Naidu,48,M,A2
427,302,Harish Iyengar,20,M,A3
428,303,Sanjay Shetty,65,M,A1
429,303,Sunitha Nayak,38,F,A2
430,305,Deepa Shetty,44,F,A1
431,305,Deepa,39,F,A2
432,305,Mahesh Naik,40,M,A3
433,305,Basavaraj Shetty,58,M,A4
434,306,Chandru Nayak,51,M,A1
435,306,Sanjay Poojary,28,M,A2
436,309,Boregowda Gowda,49,M,A1
437,310,Puneeth Achar,55,M,A1
438,310,Vinod,27,M,A2
439,310,Siddappa Gowda,28,M,A3
440,311,Usha,59,F,A1
441,312,Chandrappa Hegde,51,M,A1
442,313,Sanjay,32,M,A1
443,314,Girish Shetty,34,M,A1
444,315,Shobha Setty,57,F,A1
445,316,Manjunath Bhat,41,M,A1
446,316,Krishnappa Rao,43,M,A2
447,317,Lakshmi Rao,23,F,A1
448,318,Anitha Bhat,51,F,A1
449,319,Girish Naik,20,M,A1
450,320,Mohan Nayak,22,M,A1
451,320,Byrappa Achar,28,M,A2
452,321,Lokesh,40,M,A1
453,322,Basamma Achar,32,F,A1
454,323,Vinod Kamath,40,M,A1
455,323,Usha Achar,20,F,A2
456,324,Harish,40,M,A1
457,325,Anitha,19,F,A1
458,325,Puttamma Achar,30,F,A2
459,325,Vinod Hegde,35,M,A3
460,325,Bhagya Reddy,46,F,A4
461,325,Sunitha,26,F,A5
462,326,Manjunath Naidu,48,M,A1
463,326,Yamuna Rao,28,F,A2
464,327,Nagamma Kamath,46,F,A1
465,329,Puttaswamy,37,M,A1
466,330,Ramesh,26,M,A1
467,330,Ganesh Kumar,42,M,A2
468,331,Malathi Iyengar,46,F,A1
469,332,Shobha Naik,41,F,A1
470,332,Shailaja,48,F,A2
471,333,Girish Nayak,27,M,A1
472,334,Nagaraj Shetty,34,M,A1
473,335,Gowramma Bhat,39,F,A1
474,335,Puttamma Rao,52,F,A2
475,336,Halappa Hegde,50,M,A1
476,336,Lakshmi Achar,33,F,A2
477,337,Lakshmi,61,F,A1
478,339,Girish Kumar,39,T,A1
479,340,Manjula Gowda,30,F,A1
480,340,Sunitha Naidu,27,F,A2
481,341,Suresh Reddy,55,M,A1
482,342,Cheluvamma Bhat,20,F,A1
483,342,Shobha Iyengar,55,F,A2
484,343,Shobha Rao,31,F,A1
485,344,Yogesh,25,M,A1
486,345,Devamma Poojary,29,F,A1
487,345,Nagaraj Reddy,56,M,A2
488,346,Ravindra Setty,26,M,A1
489,346,Pushpa Kamath,40,F,A2
490,347,Puttaswamy Achar,23,M,A1
491,347,Boregowda Nayak,37,M,A2
492,348,Rajesh Naik,60,M,A1
493,349,Anand Iyengar,54,M,A1
494,349,Sharath Kumar,64,M,A2
495,350,Rajesh Nayak,55,M,A1
496,351,Puttamma Setty,41,F,A1
497,351,Shivakumar Naik,31,M,A2
498,351,Vijay Naik,31,M,A3
499,351,Puttamma,30,F,A4
500,351,Sanjay Reddy,23,M,A5
501,352,Anitha Bhat,27,F,A1
502,353,Rekha Kumar,46,F,A1
503,354,Basavaraj Setty,65,M,A1
504,355,Lokesh Setty,27,M,A1
505,355,Kavitha,41,F,A2
506,355,Ganesh Gowda,40,M,A3
507,356,Boregowda Achar,61,M,A1
508,357,Malathi Gowda,37,F,A1
509,357,Siddappa,19,M,A2
510,358,Sharath Rao,37,M,A1
511,358,Naveen Poojary,40,M,A2
512,359,Lokesh,35,M,A1
513,359,Nagamma Kamath,39,F,A2
514,359,Shobha Reddy,48,F,A3
515,359,Manjula Rao,22,F,A4
516,359,Savitha Nayak,36,F,A5
517,360,Puttaswamy Iyengar,27,M,A1
518,361,Chandrappa,59,M,A1
519,361,Nagamma Iyengar,29,F,A2
520,363,Kavitha Rao,31,F,A1
521,363,Malathi,29,F,A2
522,363,Puneeth Hegde,42,M,A3
523,363,Deepa,38,F,A4
524,364,Geetha,26,F,A1
525,364,Puttamma Rao,51,F,A2
526,364,Krishnappa Naik,50,M,A3
527,365,Roopa,38,F,A1
528,365,Basamma Nayak,18,F,A2
529,365,Basamma Setty,27,F,A3
530,365,Shobha Kumar,39,F,A4
531,366,Vani Kumar,57,F,A1
532,366,Naveen Kamath,31,M,A2
533,366,Shivakumar,40,M,A3
534,367,Chandru Reddy,22,M,A1
535,368,Pushpa Rao,49,F,A1
536,369,Gowramma Nayak,51,F,A1
537,370,Ganesh,60,M,A1
538,371,Jayanthi Kamath,31,F,A1
539,371,Pushpa Nayak,59,F,A2
540,373,Nagamma Kamath,35,F,A1
541,373,Jayanthi Reddy,50,F,A2
542,374,Roopa Shetty,53,F,A1
543,376,Sharath Naidu,61,M,A1
544,378,Yamuna Poojary,65,F,A1
545,379,Jayanthi,46,F,A1
546,379,Mahesh Nayak,35,M,A2
547,379,Sunitha Kumar,65,F,A3
548,380,Chandru Poojary,52,M,A1
549,381,Jayanthi Kumar,25,F,A1
550,382,Lokesh Naik,25,M,A1
551,383,Chandrappa Iyengar,33,M,A1
552,383,Deepa Naidu,53,F,A2
553,384,Basamma Gowda,54,F,A1
554,385,Siddappa Naik,36,M,A1
555,386,Bhagya,33,F,A1
556,387,Naveen Rao,58,M,A1
557,388,Radha,57,F,A1
558,389,Vinod,25,M,A1
559,390,Muniraju Gowda,48,M,A1
560,390,Roopa,48,F,A2
561,391,Nagaraj Nayak,65,M,A1
562,392,Chandru Gowda,18,M,A1
563,393,Siddappa,65,M,A1
564,394,Vani,41,F,A1
565,395,Prakash Poojary,58,M,A1
566,396,Manjula Kumar,26,F,A1
567,397,Manjunath,26,M,A1
568,398,Ganesh,59,M,A1
569,399,Savitha Achar,44,F,A1
570,400,Yamuna,24,F,A1
571,401,Nagamma Naik,34,F,A1
572,402,Ganesh Setty,60,M,A1
573,402,Nagaraj Kumar,19,M,A2
574,403,Basavaraj,27,M,A1
575,404,Sharath Rao,24,M,A1
576,405,Mahesh Naidu,58,M,A1
577,406,Girish Hegde,45,M,A1
578,407,Muniraju,53,M,A1
579,408,Chandrappa Gowda,57,M,A1
580,408,Cheluvamma Achar,51,F,A2
581,409,Muniraju Iyengar,23,M,A1
582,410,Naveen Bhat,41,M,A1
583,411,Savitha Rao,37,F,A1
584,412,Gowramma Reddy,20,F,A1
585,412,Geetha Hegde,19,F,A2
586,413,Rajesh Naik,62,M,A1
587,415,Basamma,28,F,A1
588,415,Nagamma Nayak,23,F,A2
589,416,Puttamma,60,F,A1
590,417,Sanjay Reddy,40,M,A1
591,417,Ganesh Achar,42,M,A2
592,417,Jayanthi Bhat,31,F,A3
593,417,Vijay Bhat,60,M,A4
594,418,Girish Shetty,37,M,A1
595,419,Nagaraj Kamath,36,M,A1
596,420,Puttaswamy Iyengar,64,M,A1
597,421,Halappa Naidu,53,M,A1
598,422,Manjunath,25,M,A1
599,422,Puttaswamy,57,M,A2
600,422,Anand Setty,51,M,A3
601,422,Anitha Naik,54,F,A4
602,423,Mahesh Hegde,48,M,A1
603,424,Chandrappa,24,M,A1
604,425,Kavitha Nayak,64,F,A1
605,426,Muniraju Shetty,40,M,A1
606,426,Padma Reddy,57,F,A2
607,427,Sunitha Setty,35,F,A1
608,427,Yamuna Rao,22,F,A2
609,428,Pushpa Rao,39,F,A1
610,428,Savitha Achar,34,F,A2
611,429,Nandini Shetty,46,F,A1
612,430,Anitha Nayak,45,F,A1
613,431,Geetha Poojary,31,F,A1
614,432,Usha Bhat,40,F,A1
615,433,Muniraju Naik,29,M,A1
616,433,Suresh Kumar,57,M,A2
617,434,Shivakumar Hegde,49,M,A1
618,435,Shailaja,24,F,A1
619,436,Mohan Nayak,27,M,A1
620,437,Malathi Naidu,49,F,A1
621,438,Mohan Rao,43,M,A1
622,438,Savitha Nayak,57,F,A2
623,438,Krishnappa Shetty,53,M,A3
624,439,Manjunath Naidu,47,T,A1
625,440,Basamma Bhat,43,F,A1
626,440,Prakash Nayak,63,M,A2
627,441,Byrappa Poojary,61,M,A1
628,442,Bhagya,31,F,A1
629,442,Naveen Rao,61,M,A2
630,443,Geetha Shetty,33,F,A1
631,444,Savitha Shetty,50,F,A1
632,444,Ganesh Shetty,50,M,A2
633,444,Pushpa Reddy,22,F,A3
634,444,Basamma Iyengar,18,F,A4
635,445,Cheluvamma Nayak,47,F,A1
636,445,Srinivas Shetty,64,M,A2
637,446,Ganesh Nayak,29,M,A1
638,447,Usha Kamath,55,F,A1
639,448,Radha Kumar,35,F,A1
640,450,Nagaraj Gowda,63,M,A1
