EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
28,1,12,12,7,KGID865990,Nandini,1977-10-18,F,AB-,0,2003-07-11
29,1,1,8,5,KGID884309,Deepa,1998-01-02,F,O-,0,2025-01-25
30,1,1,11,10,KGID632496,Prasad,1988-10-28,M,A-,0,2011-07-29
31,1,10,8,2,KGID358175,Naveen,1983-02-11,M,A+,0,2005-06-11
32,1,6,12,7,KGID350280,Shobha,1995-01-16,F,O+,0,2024-01-22
33,1,8,9,5,KGID751332,Krishnamurthy,1968-04-03,M,A-,0,1989-05-06
34,1,6,6,4,KGID398830,Nagaraj,1968-02-02,M,B+,0,1991-10-24
35,1,1,9,9,KGID800305,Lokesh,1994-05-03,M,O+,0,2021-04-02
36,1,3,8,2,KGID385577,Prakash,1998-04-21,M,O+,0,2025-06-29
37,1,8,11,6,KGID363319,Prasad,1976-11-04,M,A+,0,2003-07-01
38,1,11,12,7,KGID374680,Basavaraj,1999-08-05,M,B+,0,2022-01-16
39,1,3,9,9,KGID672092,Prakash,1968-05-17,M,A+,0,1997-02-09
40,1,13,10,10,KGID141832,Suresh,1978-10-30,M,O-,0,2003-11-26
41,1,12,5,4,KGID262060,Ramesh,1983-03-26,M,B-,0,2011-03-06
42,1,7,8,3,KGID941204,Harish,1979-11-26,M,B-,0,2009-08-29
43,1,14,8,2,KGID582662,Pushpa,1974-12-24,F,O-,0,1998-03-15
44,1,5,5,4,KGID172792,Ganesh,1982-11-16,M,O+,0,2007-07-17
45,1,1,9,9,KGID220944,Mohan,1989-01-20,M,O+,0,2013-10-02
46,1,13,8,5,KGID428914,Anand,1980-07-04,M,AB+,0,2009-08-30
47,1,1,8,9,KGID843215,Girish,1973-07-12,M,AB+,0,1997-05-15
48,1,10,8,9,KGID429164,Manjunath,1994-10-18,M,A-,0,2019-06-26
49,1,5,9,5,KGID681343,Basavaraj,1983-01-19,M,B+,0,2011-11-08
50,1,14,11,7,KGID100425,Shivakumar,1983-03-21,M,O+,0,2010-05-07
51,1,9,12,7,KGID596171,Rajesh,1995-04-23,M,B+,0,2018-09-09
52,1,5,9,5,KGID335552,Krishnamurthy,1975-07-16,M,B-,0,2004-01-25
53,1,8,8,1,KGID534572,Roopa,1999-06-22,T,B-,0,2021-04-10
54,1,1,12,7,KGID887443,Srinivas,1994-06-06,M,A-,0,2023-02-15
55,1,9,5,4,KGID361303,Malathi,1985-11-03,F,A-,0,2007-05-22
56,1,9,9,8,KGID547470,Nandini,1992-06-25,F,AB-,0,2021-07-14
57,1,13,9,8,KGID915451,Naveen,1993-08-09,M,AB-,0,2017-09-12
58,1,6,9,5,KGID435239,Shivakumar,1975-07-09,M,A-,0,1999-07-20
59,1,7,6,4,KGID527398,Yogesh,1974-08-07,M,O-,0,1996-04-21
60,1,10,11,7,KGID829308,Anand,1982-06-22,M,A+,0,2012-02-03
61,2,16,12,7,KGID994905,Nagaraj,1978-05-25,M,AB+,0,2007-10-31
62,2,15,8,9,KGID507746,Vinod,1984-07-20,M,O-,0,2010-12-25
63,2,15,11,7,KGID513160,Geetha,1992-11-30,F,A+,0,2019-11-21
64,2,16,11,7,KGID443254,Manjula,1967-04-04,F,B-,0,1991-02-27
65,2,15,12,6,KGID593152,Mohan,1983-11-29,M,A+,0,2007-09-22
66,2,15,9,1,KGID359295,Manjunath,2000-01-17,M,B-,0,2026-04-30
67,2,15,10,10,KGID587623,Sanjay,1995-01-12,M,O+,0,2017-04-19
68,2,15,8,3,KGID427110,Kumar,1978-12-15,M,AB+,0,2001-02-24
69,2,15,5,4,KGID831059,Mohan,1993-02-19,M,O+,0,2016-11-04
70,2,16,10,10,KGID658623,Deepa,2000-02-09,F,AB+,0,2021-07-21
71,2,16,8,2,KGID479781,Anand,1986-12-28,M,AB-,0,2009-02-27
72,2,16,11,7,KGID587455,Puneeth,1977-02-12,M,AB+,0,2005-01-03
73,2,16,11,10,KGID355709,Naveen,1968-11-20,M,AB-,0,1992-12-31
74,2,16,12,7,KGID322423,Prasad,1979-08-01,M,O-,0,2002-08-09
75,2,15,12,6,KGID189771,Vani,1989-12-07,F,B-,0,2011-01-12
76,2,16,8,8,KGID931450,Puneeth,1996-12-06,M,A+,0,2023-06-03
77,2,16,6,4,KGID596249,Shivakumar,1994-10-14,M,O-,0,2022-04-17
78,2,16,9,9,KGID341736,Rajesh,1977-02-25,M,A-,0,2001-07-29
79,2,15,11,6,KGID326895,Krishnamurthy,1995-12-17,M,AB-,0,2019-01-08
80,2,16,11,10,KGID288158,Shobha,1978-04-16,T,O+,0,2001-10-28
81,2,15,8,9,KGID768854,Suresh,1989-10-28,M,AB-,0,2014-01-31
82,2,15,9,1,KGID364742,Rajesh,1980-04-14,M,AB-,0,2003-05-04
83,2,15,8,2,KGID259097,Girish,1993-03-27,M,B+,0,2021-12-01
84,2,16,8,5,KGID735770,Kavitha,1990-01-13,T,B-,0,2019-08-05
85,2,16,12,7,KGID696251,Rekha,1991-05-27,F,A+,0,2017-03-12
86,2,15,8,2,KGID351516,Vinod,1994-08-17,M,B+,0,2016-07-09
87,2,16,8,3,KGID134225,Yogesh,1991-08-22,M,B-,0,2017-11-22
88,2,15,9,5,KGID545790,Naveen,1976-11-13,M,A-,0,2006-09-08
89,2,16,8,3,KGID723948,Padma,1967-09-05,F,O+,0,1990-07-10
90,2,16,9,8,KGID559023,Vinod,1987-06-14,M,A-,0,2014-06-28
91,2,15,12,7,KGID901909,Ravi,1969-02-05,M,O+,0,1992-08-25
92,2,16,8,3,KGID765620,Rajesh,1977-06-24,M,AB-,0,2000-07-01
93,2,15,9,8,KGID445824,Basavaraj,1995-01-23,M,AB+,0,2017-03-21
94,2,15,9,5,KGID429795,Bhagya,1966-08-25,F,O+,0,1992-09-24
95,3,17,8,9,KGID296694,Ramesh,1985-09-22,M,O-,0,2011-05-06
96,3,17,9,8,KGID402020,Ganesh,1976-12-24,M,AB-,0,2004-02-15
97,3,17,8,8,KGID844261,Puneeth,1992-04-24,M,B+,0,2022-04-05
98,3,17,9,1,KGID779172,Mohan,1970-02-02,M,B+,0,1996-04-01
99,3,17,9,5,KGID678043,Sanjay,1986-03-08,M,B+,0,2009-11-25
100,3,17,10,10,KGID456385,Vani,1999-08-30,F,O+,0,2024-01-18
101,3,17,9,5,KGID568238,Deepa,1994-08-09,F,AB-,0,2021-01-29
102,3,17,9,9,KGID699573,Basavaraj,1973-06-18,M,AB+,0,2002-04-08
103,3,17,11,7,KGID795928,Sanjay,1996-08-20,M,B+,0,2021-11-23
104,3,17,8,1,KGID204555,Girish,1979-11-23,M,AB-,0,2002-01-02
105,3,17,8,3,KGID455007,Geetha,1968-05-10,F,AB+,0,1994-08-10
106,3,17,12,6,KGID747453,Shailaja,1997-03-29,F,A-,0,2025-01-27
107,3,17,8,5,KGID565230,Anand,1969-06-01,M,B+,0,1998-12-05
108,3,17,8,1,KGID551607,Suresh,1978-02-28,M,B+,0,2003-03-02
109,4,18,10,10,KGID621841,Manjunath,1992-05-04,M,B+,0,2017-08-12
110,4,18,9,5,KGID177449,Ravi,1985-11-14,M,AB-,0,2010-01-30
111,4,18,11,10,KGID986365,Anand,1995-12-20,M,O+,0,2019-10-04
112,4,18,12,7,KGID833247,Mahesh,1990-08-28,M,O+,0,2015-09-01
113,4,18,12,7,KGID735863,Prasad,1995-10-07,M,AB-,0,2025-06-23
114,4,18,8,5,KGID751051,Nagaraj,1974-10-29,M,O+,0,2002-12-13
115,4,18,8,3,KGID134985,Shailaja,1966-10-08,F,O-,0,1991-03-21
116,4,18,8,2,KGID924718,Anand,1972-11-17,M,O-,0,1996-02-12
117,4,18,8,5,KGID943298,Mohan,1986-08-13,M,A-,0,2010-11-28
118,4,18,8,2,KGID986827,Naveen,1995-05-04,M,O-,0,2024-06-11
119,4,18,11,7,KGID712955,Prakash,1985-05-27,M,AB+,0,2010-07-09
120,4,18,11,6,KGID739717,Sanjay,1966-02-15,M,B-,0,1994-01-21
121,4,18,9,8,KGID419149,Prakash,1971-04-10,M,AB-,0,1992-10-06
122,4,18,5,4,KGID715870,Nagaraj,1995-01-29,M,B+,0,2024-05-24
123,5,19,8,2,KGID327823,Vinod,1966-06-21,M,AB-,0,1995-03-13
124,5,19,6,4,KGID163491,Sharath,1981-06-24,M,AB+,0,2008-07-27
125,5,19,8,2,KGID153035,Ganesh,1993-10-14,M,O-,0,2021-12-10
126,5,19,8,3,KGID952547,Krishnamurthy,1989-11-11,M,B-,0,2013-03-03
127,5,19,8,3,KGID937302,Srinivas,1970-10-31,M,B+,0,1997-11-15
128,5,19,8,1,KGID116547,Lokesh,2000-05-14,M,B+,0,2024-01-08
129,5,19,8,3,KGID915809,Harish,1967-11-08,M,O-,0,1994-03-06
130,5,19,8,2,KGID580292,Chandrashekar,1966-12-12,M,A+,0,1996-02-01
131,5,19,9,8,KGID177060,Prakash,1986-12-29,M,A-,0,2015-12-19
132,5,19,8,3,KGID499407,Chandrashekar,1993-05-26,M,O+,0,2020-12-12
133,5,19,11,10,KGID550961,Yogesh,1970-02-18,M,AB-,0,1998-06-17
134,5,19,12,7,KGID427730,Usha,1983-08-30,F,AB+,0,2012-10-29
135,5,19,9,5,KGID972176,Yamuna,1986-04-11,F,A-,0,2008-01-05
136,5,19,8,2,KGID802559,Bhagya,1967-09-10,F,A-,0,1995-04-03
137,5,19,11,7,KGID705991,Roopa,1979-01-07,F,B-,0,2003-12-12
138,5,19,8,8,KGID899649,Savitha,1989-12-14,F,O+,0,2015-01-22
139,5,19,11,7,KGID289179,Sharath,1996-02-09,M,O+,0,2020-02-03
140,5,19,9,5,KGID172965,Kumar,1971-06-06,M,B+,0,1998-10-06
141,6,20,8,2,KGID426775,Rajesh,1980-04-17,M,O-,0,2003-01-16
142,6,20,10,10,KGID806707,Geetha,1972-01-24,F,A-,0,2001-07-05
143,6,20,12,7,KGID461939,Anand,1977-04-03,M,AB+,0,2000-08-27
144,6,20,11,10,KGID728437,Shivakumar,1967-01-15,M,A+,0,1990-07-01
145,6,20,8,5,KGID225812,Krishnamurthy,1976-06-18,M,A+,0,2000-09-10
146,6,20,11,7,KGID175576,Ramesh,1996-07-25,M,AB+,0,2020-02-17
147,6,20,9,1,KGID701253,Manjunath,1979-01-17,M,AB+,0,2006-06-27
148,6,20,12,7,KGID972442,Ravi,1979-07-28,M,O-,0,2002-06-25
149,7,21,6,4,KGID882033,Vijay,1968-07-12,M,O-,0,1993-12-14
150,7,21,8,3,KGID913934,Prakash,1988-10-20,M,O-,0,2015-07-04
151,7,21,8,3,KGID897143,Vinod,1973-11-07,M,A-,0,1996-10-12
152,7,21,9,8,KGID757685,Krishnamurthy,1990-12-30,M,O-,0,2017-01-05
153,7,21,8,2,KGID469038,Shivakumar,2000-09-21,M,A-,0,2024-10-15
154,7,21,8,8,KGID744883,Mohan,1977-11-17,M,AB+,0,1999-09-22
155,7,21,8,9,KGID437145,Lokesh,1990-08-24,M,AB-,0,2018-12-09
156,7,21,9,1,KGID629057,Mohan,1980-05-28,M,B+,0,2009-05-26
157,7,21,9,8,KGID396635,Chandrashekar,1972-02-14,M,AB+,0,1997-03-09
158,8,22,10,10,KGID199096,Shailaja,1980-01-05,F,AB+,0,2001-09-25
159,8,22,10,10,KGID425301,Girish,1994-10-08,M,AB+,0,2017-05-04
160,8,22,8,2,KGID802667,Puneeth,2000-07-06,M,A-,0,2025-03-07
161,8,22,12,7,KGID903373,Shivakumar,1973-02-01,M,AB-,0,1996-06-22
162,8,22,8,3,KGID794083,Prasad,2000-05-09,M,O-,0,2022-06-22
163,8,22,10,10,KGID856215,Srinivas,1972-04-12,M,AB-,0,1995-04-17
164,8,22,11,6,KGID345369,Roopa,1977-10-13,F,B-,0,2007-03-16
165,8,22,8,8,KGID915922,Girish,1984-10-06,M,AB+,0,2010-12-05
166,8,22,11,7,KGID772324,Roopa,1971-03-18,F,AB-,0,1994-12-31
167,8,22,8,9,KGID900185,Vijay,1970-08-05,M,B+,0,1994-10-10
168,8,22,8,9,KGID127965,Padma,1974-12-17,F,AB+,0,2001-01-01
169,8,22,9,9,KGID434165,Manjunath,1981-10-26,M,A-,0,2005-04-27
170,8,22,11,6,KGID895702,Shivakumar,1986-03-12,M,AB-,0,2014-12-26
171,9,23,8,2,KGID216587,Mohan,1971-09-16,M,O+,0,1998-11-05
172,9,23,8,2,KGID216242,Puneeth,2000-08-12,M,AB-,0,2025-02-27
173,9,23,8,1,KGID352249,Shivakumar,1984-04-03,M,AB+,0,2005-04-04
174,9,23,8,2,KGID509420,Vijay,1989-05-29,M,AB-,0,2016-01-31
175,9,23,12,7,KGID461551,Ravi,1981-01-07,M,B-,0,2010-11-05
176,9,23,8,2,KGID970720,Nagaraj,1989-06-29,M,AB-,1,2014-04-10
177,9,23,8,8,KGID138780,Padma,1997-02-13,F,O+,0,2023-10-18
178,9,23,5,4,KGID365618,Shivakumar,1988-02-14,M,A+,0,2013-07-28
179,10,25,9,5,KGID230521,Sunitha,1994-06-01,F,O-,0,2019-02-14
180,10,25,12,7,KGID825686,Usha,1980-03-17,F,AB-,0,2003-04-16
181,10,24,9,9,KGID671971,Jayanthi,1968-07-17,F,O+,0,1994-05-10
182,10,25,8,2,KGID274739,Shivakumar,1985-01-01,M,AB-,0,2012-09-29
183,10,24,9,1,KGID178686,Anand,1977-04-26,M,AB+,0,2005-06-22
184,10,25,8,3,KGID136489,Chandrashekar,1995-06-02,M,B+,0,2025-03-01
185,10,24,12,6,KGID812048,Girish,1966-06-15,M,AB-,0,1994-03-23
186,10,25,12,6,KGID517368,Girish,1971-03-06,M,O-,0,1998-02-05
187,10,25,5,4,KGID688956,Kumar,1987-05-22,M,A-,0,2014-03-06
188,10,25,9,5,KGID309902,Chandrashekar,1977-10-23,M,A-,0,2006-07-30
189,10,25,8,2,KGID800280,Yogesh,1984-12-19,M,O-,0,2006-12-08
190,10,24,9,9,KGID932250,Manjula,1996-12-06,F,O-,0,2025-11-15
191,10,25,8,2,KGID680933,Radha,2000-06-15,F,O-,0,2026-05-15
192,10,25,8,9,KGID851759,Manjunath,1967-12-14,M,AB-,0,1992-05-27
193,10,25,11,7,KGID588461,Basavaraj,1993-10-25,M,O-,0,2015-08-19
194,10,24,8,9,KGID971776,Srinivas,1984-05-29,M,A-,0,2011-01-12
195,10,25,8,5,KGID987025,Yogesh,1975-02-12,M,A-,0,1999-12-25
196,10,24,9,9,KGID626986,Shivakumar,1992-07-24,M,B+,0,2019-07-13
197,10,25,10,10,KGID983456,Chandrashekar,1997-04-29,M,A+,0,2025-02-04
198,10,24,8,1,KGID904214,Puneeth,1999-08-03,M,AB+,0,2025-09-12
199,10,25,9,1,KGID606404,Bhagya,1977-12-29,F,B-,0,2006-03-06
200,10,25,12,7,KGID535810,Yogesh,1967-09-09,M,AB-,0,1990-06-12
201,11,26,10,10,KGID518084,Yogesh,1979-04-29,M,B+,0,2008-07-17
202,11,26,8,9,KGID359961,Rajesh,1970-07-01,M,B+,0,1994-06-25
203,11,26,9,5,KGID705748,Jayanthi,1976-02-20,F,O-,0,1998-11-30
204,11,26,8,3,KGID124302,Nandini,1987-05-17,T,A-,0,2011-10-26
205,11,26,9,9,KGID152995,Shobha,1991-03-03,F,O+,0,2016-02-10
206,11,26,9,8,KGID377319,Prasad,1969-10-28,M,O-,0,1995-08-23
207,11,26,11,6,KGID680096,Girish,1990-03-15,M,O+,0,2013-05-15
208,11,26,9,9,KGID234913,Vinod,1992-12-16,M,A-,0,2021-07-28
209,11,26,12,6,KGID624369,Ganesh,1992-01-10,M,A+,0,2018-09-20
210,11,26,8,3,KGID443897,Malathi,1985-07-02,F,O-,0,2008-02-27
211,11,26,11,10,KGID843167,Vijay,1987-11-13,M,O+,0,2014-10-27
212,11,26,9,1,KGID935457,Prakash,1983-09-08,M,A+,0,2011-03-20
213,11,26,8,5,KGID254954,Girish,1986-07-21,M,B-,0,2009-06-13
214,12,27,5,4,KGID530311,Anand,1971-10-18,M,AB-,0,1997-05-30
215,12,27,8,1,KGID651002,Ramesh,1979-08-01,M,AB+,0,2007-12-29
216,12,27,8,3,KGID739711,Anitha,1989-07-04,F,AB-,0,2014-06-19
217,12,27,6,4,KGID839142,Naveen,1978-05-09,M,B-,0,2007-12-26
218,12,27,9,8,KGID227794,Ramesh,2000-09-05,M,AB+,0,2025-09-03
219,12,27,12,7,KGID848831,Geetha,1978-01-11,F,A-,0,1999-06-27
220,12,27,9,8,KGID689318,Ganesh,1974-01-24,M,O+,0,2001-02-02
221,12,27,10,10,KGID155040,Sharath,1988-10-27,M,A-,0,2012-05-03
222,12,27,8,8,KGID526673,Srinivas,1965-03-26,M,AB-,0,1992-05-22
223,13,28,9,5,KGID661147,Suresh,1999-06-26,M,A+,0,2021-06-21
224,13,28,8,3,KGID295361,Manjula,1966-08-19,F,O+,0,1992-01-26
225,13,28,9,1,KGID772464,Prakash,1980-01-12,M,AB-,0,2004-03-16
226,13,28,8,3,KGID866634,Lokesh,1970-01-20,M,AB-,0,1994-09-30
227,13,28,8,3,KGID284019,Lokesh,1978-03-27,M,AB+,0,2005-08-02
228,13,28,9,9,KGID600646,Sharath,1969-04-12,M,O-,0,1992-05-02
229,13,28,9,1,KGID416613,Rajesh,1998-10-24,M,A+,0,2022-10-16
230,13,28,11,6,KGID525110,Prakash,1985-11-17,M,O+,0,2010-04-21
231,13,28,9,5,KGID577079,Naveen,1970-12-29,M,O-,0,1997-05-04
232,13,28,9,9,KGID813390,Lokesh,1994-10-16,M,A-,0,2018-03-23
233,13,28,9,9,KGID700521,Girish,1970-01-13,M,B+,0,1991-09-17
234,14,29,8,8,KGID635167,Yogesh,1991-02-28,M,AB-,0,2017-08-17
235,14,29,8,8,KGID805448,Rajesh,1990-04-19,M,O+,0,2011-12-06
236,14,29,12,7,KGID544278,Shobha,1990-12-11,F,O-,0,2012-09-30
237,14,29,8,9,KGID528728,Padma,1986-03-06,F,B+,0,2007-07-08
238,14,29,12,7,KGID184148,Usha,1985-02-13,T,B+,0,2010-05-04
239,14,29,11,6,KGID863214,Ramesh,1982-08-19,M,B-,0,2009-07-19
240,14,29,9,1,KGID963355,Harish,1989-06-04,M,B-,0,2015-03-02
241,14,29,11,6,KGID948799,Harish,1999-05-04,M,AB+,0,2021-08-03
242,14,29,8,1,KGID726822,Prakash,1991-08-24,M,A+,0,2013-01-02
243,14,29,9,1,KGID246942,Ramesh,1974-09-30,M,O+,0,2004-03-10
244,14,29,11,10,KGID416422,Krishnamurthy,1995-03-03,M,B+,1,2019-10-01
245,14,29,8,9,KGID756401,Vinod,1967-09-26,M,AB+,0,1994-12-18
246,14,29,9,1,KGID830132,Yamuna,1982-02-05,F,AB+,0,2011-11-23
247,14,29,9,5,KGID415344,Ramesh,1986-03-30,M,B+,0,2009-12-06
248,14,29,9,1,KGID354655,Bhagya,1988-10-10,F,O+,0,2011-04-07
249,14,29,8,2,KGID154040,Padma,1989-01-10,F,O+,0,2018-02-19
250,15,30,10,10,KGID602681,Shobha,1999-03-03,F,B-,0,2024-05-30
251,15,30,12,6,KGID883159,Lakshmi,1974-07-03,F,AB-,0,1997-08-14
252,15,31,10,10,KGID499152,Naveen,1989-10-07,M,AB-,0,2014-05-11
253,15,30,12,6,KGID941814,Vijay,1987-04-23,M,AB-,0,2013-07-08
254,15,30,11,6,KGID877259,Anand,1967-01-20,M,B+,0,1994-05-07
255,15,31,9,9,KGID697467,Ganesh,1979-10-19,M,B-,0,2003-05-13
256,15,31,12,6,KGID583214,Sanjay,1997-06-16,M,B+,0,2025-08-21
257,15,30,11,6,KGID649395,Ramesh,1986-11-27,M,A+,0,2009-12-14
258,15,30,8,2,KGID171269,Anand,1971-03-03,M,B+,0,1999-03-24
259,15,31,9,9,KGID791309,Chandrashekar,1993-08-10,M,AB-,0,2022-01-26
260,15,31,9,9,KGID117975,Vijay,1997-05-25,M,AB+,0,2021-06-18
261,15,30,8,3,KGID749887,Malathi,1971-09-06,F,O+,0,1995-05-15
262,15,30,9,5,KGID831105,Mahesh,1985-08-04,M,B-,0,2012-11-29
263,15,31,8,2,KGID158840,Mahesh,1981-12-02,M,A+,0,2009-02-06
264,15,30,8,2,KGID653815,Shailaja,2000-03-09,F,A+,0,2024-11-19
265,15,30,11,10,KGID288066,Manjunath,1995-09-14,M,O-,0,2019-10-31
266,15,31,5,4,KGID270341,Yogesh,1982-11-13,M,B-,0,2004-09-18
267,15,30,12,7,KGID625119,Harish,1971-04-12,M,O-,0,2001-02-15
268,15,31,11,7,KGID911131,Anitha,1992-02-24,F,O-,0,2021-10-03
269,15,31,9,5,KGID294760,Nagaraj,1989-10-22,M,AB+,0,2015-01-01
270,15,30,11,10,KGID498458,Padma,1968-09-06,F,B+,0,1992-09-02
271,15,31,12,6,KGID898329,Ravi,1978-10-30,M,O+,0,2004-10-19
272,15,31,8,2,KGID208310,Ramesh,1989-11-19,M,A+,0,2016-08-12
273,15,30,8,9,KGID406024,Lokesh,1979-07-22,M,AB+,0,2004-11-09
274,15,30,8,2,KGID245584,Kumar,1995-09-29,M,O+,0,2020-12-30
275,15,31,8,8,KGID607753,Anand,1977-05-19,M,A-,0,2003-02-01
276,15,30,6,4,KGID419457,Ganesh,1985-07-16,M,A+,0,2007-09-22
277,15,31,12,6,KGID955088,Anitha,1984-09-30,F,B+,0,2009-06-27
278,15,31,10,10,KGID870571,Kumar,1982-11-12,M,AB-,0,2007-06-06
279,15,31,6,4,KGID219420,Mohan,2000-04-02,M,B-,0,2025-08-23
280,15,31,8,9,KGID842776,Ramesh,1966-03-17,M,B-,0,1995-05-07
281,15,30,8,5,KGID764100,Jayanthi,1995-03-11,F,O+,0,2021-10-10
282,15,31,8,3,KGID710527,Padma,1985-02-22,F,AB+,0,2012-11-01
283,15,30,11,7,KGID214682,Savitha,1996-06-22,F,B-,0,2023-06-25
284,16,32,8,3,KGID889245,Puneeth,1995-05-23,M,O-,0,2023-08-18
285,16,32,11,7,KGID567432,Vinod,1974-12-17,M,O-,0,2001-09-02
286,16,32,10,10,KGID536181,Ravi,1986-08-28,M,A-,0,2008-10-24
287,16,32,8,3,KGID465219,Rajesh,2000-03-07,M,AB-,0,2023-06-27
288,16,32,9,8,KGID990429,Suresh,1996-11-19,M,O-,0,2019-02-28
289,16,32,8,3,KGID584498,Ramesh,1972-03-08,M,B-,0,1996-11-17
290,16,32,8,3,KGID571413,Anand,1982-09-30,M,AB+,0,2004-01-22
291,16,32,5,4,KGID938338,Yogesh,2000-09-15,M,B+,0,2022-05-24
292,16,32,6,4,KGID725969,Sharath,1986-12-16,M,AB+,0,2013-11-10
293,16,32,10,10,KGID953266,Prasad,1985-07-16,M,O+,0,2013-06-12
294,16,32,10,10,KGID222629,Basavaraj,1970-04-16,M,B+,0,1993-12-13
295,16,32,8,3,KGID294776,Srinivas,1990-10-14,M,AB-,0,2016-01-27
296,16,32,8,3,KGID749498,Srinivas,1973-05-24,M,A+,0,1997-11-27
297,17,33,8,8,KGID529008,Mahesh,1990-03-11,M,AB-,0,2016-11-04
298,17,33,9,8,KGID406278,Girish,1966-05-21,M,A+,0,1996-04-17
299,17,33,9,9,KGID676429,Rajesh,1990-05-17,M,A-,0,2019-09-08
300,17,33,9,5,KGID672892,Krishnamurthy,1966-11-13,M,B-,1,1996-05-16
301,17,33,8,2,KGID956401,Suresh,1985-03-05,M,A-,0,2009-02-08
302,17,33,8,2,KGID845279,Harish,1991-05-17,M,AB+,0,2020-02-01
303,17,33,8,3,KGID725850,Sunitha,1990-07-29,F,B+,0,2015-06-29
304,17,33,9,5,KGID242175,Prasad,1988-01-29,M,AB+,0,2016-09-05
305,18,34,8,3,KGID613234,Yogesh,1979-06-14,M,B+,0,2003-03-18
306,18,34,9,5,KGID522419,Manjunath,1993-06-04,M,O+,0,2023-04-27
307,18,34,12,6,KGID866437,Anitha,1991-02-08,F,AB-,0,2012-02-13
308,18,34,11,6,KGID618746,Usha,1974-10-09,F,O+,0,2000-07-28
309,18,34,9,5,KGID815707,Srinivas,1990-05-25,M,A+,0,2016-10-27
310,18,34,8,8,KGID100708,Prasad,1972-02-02,M,AB+,0,1998-01-08
311,18,34,8,3,KGID362552,Vinod,1969-03-10,M,A-,0,1997-07-07
312,18,34,8,3,KGID550081,Shivakumar,1997-07-26,M,A-,0,2026-05-24
313,18,34,8,1,KGID109738,Srinivas,1991-08-19,M,A+,0,2015-02-25
314,18,34,8,2,KGID193670,Sanjay,1968-03-06,M,A-,0,1991-09-24
315,18,34,12,6,KGID171734,Krishnamurthy,1998-10-14,M,A+,0,2021-04-06
316,18,34,8,3,KGID531709,Ganesh,1993-03-05,M,AB-,0,2022-07-20
317,19,35,8,2,KGID550246,Girish,1997-09-30,M,O-,0,2023-01-14
318,19,35,6,4,KGID916808,Naveen,1989-10-28,M,A+,0,2017-07-19
319,19,35,8,5,KGID409898,Vijay,1973-06-18,M,A+,0,2002-11-01
320,19,35,6,4,KGID653948,Naveen,1987-05-31,M,A+,1,2015-07-21
321,19,35,11,6,KGID672896,Mohan,1990-07-01,M,B+,0,2016-03-14
322,19,35,8,2,KGID163406,Ravi,1976-10-05,M,AB+,0,2000-03-01
323,19,35,9,9,KGID390946,Mahesh,1968-09-12,M,A-,0,1996-11-12
